[TID]               [Nom]               [Début]            [Fin]               [Durée Totale]
140223436543552     bague               17:48:42            17:48:42            200ms
140223453328960     coupe               17:48:42            17:48:42            203ms
140223428150848     chandelier          17:48:42            17:48:42            400ms
140223444936256     porte               17:48:42            17:48:42            400ms
140223419758144     bague               17:48:42            17:48:42            600ms
140223411365440     coupe               17:48:42            17:48:42            403ms
140223300236864     bague               17:48:42            17:48:43            800ms
140223453328960     coupe               17:48:42            17:48:43            600ms
140223436543552     table               17:48:42            17:48:43            600ms
140223428150848     chandelier          17:48:42            17:48:43            400ms
140223419758144     chandelier          17:48:42            17:48:43            596ms
140223444936256     epee                17:48:42            17:48:43            997ms
140223411365440     epee                17:48:43            17:48:43            800ms
140223419758144     bague               17:48:43            17:48:43            200ms
140223300236864     epee                17:48:43            17:48:44            997ms
140223453328960     coupe               17:48:43            17:48:44            1000ms
140223411365440     chandelier          17:48:43            17:48:44            400ms
140223436543552     porte               17:48:43            17:48:44            1193ms
140223428150848     epee                17:48:43            17:48:44            1001ms
140223444936256     porte               17:48:43            17:48:44            801ms
140223300236864     chandelier          17:48:44            17:48:44            400ms
140223419758144     coupe               17:48:44            17:48:44            801ms
140223436543552     table               17:48:44            17:48:44            400ms
140223453328960     coupe               17:48:44            17:48:45            801ms
140223428150848     bague               17:48:44            17:48:45            600ms
140223300236864     table               17:48:44            17:48:45            394ms
140223444936256     epee                17:48:44            17:48:45            600ms
140223436543552     bague               17:48:45            17:48:45            400ms
140223411365440     porte               17:48:44            17:48:45            801ms
140223428150848     table               17:48:45            17:48:45            600ms
140223419758144     coupe               17:48:44            17:48:45            801ms
140223300236864     table               17:48:45            17:48:45            600ms
140223444936256     coupe               17:48:45            17:48:45            600ms
140223428150848     chandelier          17:48:45            17:48:45            200ms
140223436543552     coupe               17:48:45            17:48:46            600ms
140223411365440     bague               17:48:45            17:48:46            400ms
140223453328960     porte               17:48:45            17:48:46            800ms
140223300236864     bague               17:48:45            17:48:46            400ms
140223444936256     coupe               17:48:45            17:48:46            600ms
140223419758144     table               17:48:45            17:48:46            600ms
140223428150848     porte               17:48:46            17:48:46            600ms
140223436543552     bague               17:48:46            17:48:46            600ms
140223444936256     epee                17:48:46            17:48:46            200ms
140223453328960     table               17:48:46            17:48:46            600ms
140223411365440     coupe               17:48:46            17:48:46            600ms
140223436543552     chandelier          17:48:46            17:48:46            200ms
140223428150848     table               17:48:46            17:48:47            400ms
140223419758144     bague               17:48:46            17:48:47            600ms
140223300236864     porte               17:48:46            17:48:47            800ms
140223453328960     coupe               17:48:46            17:48:47            600ms
140223419758144     chandelier          17:48:47            17:48:47            200ms
140223411365440     coupe               17:48:46            17:48:47            801ms
140223300236864     table               17:48:47            17:48:47            200ms
140223444936256     coupe               17:48:46            17:48:47            1001ms
140223453328960     table               17:48:47            17:48:47            400ms
140223436543552     coupe               17:48:47            17:48:48            1001ms
140223419758144     table               17:48:47            17:48:48            400ms
140223428150848     porte               17:48:47            17:48:48            1001ms
140223436543552     chandelier          17:48:48            17:48:48            200ms
140223411365440     coupe               17:48:47            17:48:48            801ms
140223300236864     table               17:48:47            17:48:48            601ms
140223444936256     porte               17:48:47            17:48:48            801ms
140223419758144     porte               17:48:48            17:48:48            600ms
140223436543552     coupe               17:48:48            17:48:49            600ms
140223453328960     table               17:48:48            17:48:49            1001ms
140223300236864     coupe               17:48:48            17:48:49            600ms
140223428150848     bague               17:48:48            17:48:49            1001ms
140223411365440     chandelier          17:48:48            17:48:49            1001ms
140223444936256     table               17:48:48            17:48:49            601ms
140223436543552     table               17:48:49            17:48:49            601ms
140223453328960     epee                17:48:49            17:48:49            401ms
140223419758144     table               17:48:49            17:48:49            802ms
140223300236864     porte               17:48:49            17:48:50            801ms
140223411365440     porte               17:48:49            17:48:50            801ms
140223419758144     chandelier          17:48:50            17:48:50            200ms
140223428150848     porte               17:48:49            17:48:50            1001ms
140223453328960     coupe               17:48:49            17:48:50            801ms
140223444936256     table               17:48:49            17:48:50            1001ms
140223436543552     table               17:48:49            17:48:50            1202ms
140223419758144     epee                17:48:50            17:48:50            400ms
140223300236864     table               17:48:50            17:48:51            802ms
140223428150848     chandelier          17:48:50            17:48:51            401ms
140223411365440     table               17:48:50            17:48:51            1002ms
140223436543552     table               17:48:50            17:48:51            600ms
140223419758144     bague               17:48:51            17:48:51            600ms
140223453328960     porte               17:48:50            17:48:51            1001ms
140223300236864     table               17:48:51            17:48:51            801ms
140223444936256     coupe               17:48:50            17:48:51            1001ms
140223411365440     bague               17:48:51            17:48:52            600ms
140223428150848     coupe               17:48:51            17:48:52            801ms
140223419758144     porte               17:48:51            17:48:52            600ms
140223411365440     chandelier          17:48:52            17:48:52            200ms
140223436543552     coupe               17:48:51            17:48:52            800ms
140223444936256     chandelier          17:48:52            17:48:52            400ms
140223300236864     coupe               17:48:51            17:48:52            801ms
140223436543552     chandelier          17:48:52            17:48:52            200ms
140223453328960     porte               17:48:51            17:48:52            1001ms
140223444936256     epee                17:48:52            17:48:52            200ms
140223300236864     bague               17:48:52            17:48:52            200ms
140223428150848     coupe               17:48:52            17:48:53            801ms
140223436543552     bague               17:48:52            17:48:53            200ms
140223419758144     porte               17:48:52            17:48:53            1001ms
140223428150848     bague               17:48:53            17:48:53            200ms
140223411365440     coupe               17:48:52            17:48:53            1001ms
140223436543552     chandelier          17:48:53            17:48:53            200ms
140223419758144     table               17:48:53            17:48:53            200ms
140223444936256     coupe               17:48:52            17:48:53            800ms
140223436543552     chandelier          17:48:53            17:48:53            200ms
140223453328960     coupe               17:48:52            17:48:53            1001ms
140223428150848     bague               17:48:53            17:48:53            400ms
140223300236864     coupe               17:48:53            17:48:54            1000ms
140223419758144     chandelier          17:48:53            17:48:54            400ms
140223411365440     coupe               17:48:53            17:48:54            801ms
140223453328960     chandelier          17:48:53            17:48:54            400ms
140223444936256     coupe               17:48:53            17:48:54            801ms
140223300236864     chandelier          17:48:54            17:48:54            400ms
140223419758144     table               17:48:54            17:48:54            200ms
140223436543552     epee                17:48:53            17:48:54            801ms
140223411365440     bague               17:48:54            17:48:54            400ms
140223300236864     coupe               17:48:54            17:48:54            400ms
140223453328960     bague               17:48:54            17:48:54            400ms
140223428150848     chandelier          17:48:54            17:48:55            1001ms
140223444936256     table               17:48:54            17:48:55            601ms
140223419758144     chandelier          17:48:54            17:48:55            601ms
140223436543552     table               17:48:54            17:48:55            601ms
140223428150848     coupe               17:48:55            17:48:55            200ms
140223300236864     bague               17:48:54            17:48:55            601ms
140223436543552     porte               17:48:55            17:48:55            200ms
140223411365440     bague               17:48:54            17:48:55            802ms
140223300236864     porte               17:48:55            17:48:55            200ms
140223453328960     chandelier          17:48:55            17:48:55            801ms
140223419758144     table               17:48:55            17:48:55            600ms
140223444936256     epee                17:48:55            17:48:56            800ms
140223428150848     table               17:48:55            17:48:56            600ms
140223411365440     table               17:48:55            17:48:56            600ms
140223453328960     coupe               17:48:55            17:48:56            400ms
